Cód Suc;Desc;Precio;Costo;Ganancia_$;Margen_%
1725;YOG LIGHT C/DURAZNO MILK;1299,99;1052,304;247,686;19,05
1727;YOG ENT C/DURAZNO MILK;1399,99;1104,193;295,797;21,13
1733;MORRON CASERO X 360 GRS;5899,99;4222,843;1677,147;28,43
1738;TAPA EMP CRIOLLA ROTISERA ORAL;6699,99;5016,359;1683,631;25,13
1739;TAPA EMP HOJALDRE ROTISERA ORA;6399,99;5016,359;1383,631;21,62
1743;CHIPS DE PAPA PAZZI;1749,99;1211,118;538,872;30,79
1746;QUESO AL PESTO MESSONIER;20999,99;12006,693;8993,297;42,83
1754;COMBO ESTANCIA;25499,99;16875,328;8624,662;33,82
1764;DURAZ EN ALM ALCO X 820 GRS;1699,99;1162,832;537,158;31,6
1774;QUESO EPICE AHUMADO MESSONIER;21999,99;13156,344;8843,646;40,2
1775;CHIPS DE PAPA Y QUESO;2299,99;1620,105;679,885;29,56
1803;MANTECOL CON ALMENDRAS;27999,99;17957,5;10042,49;35,87
1812;PUDDING CHOCO C/CHIPS;2599,99;1832,944;767,046;29,5
1813;PUDDING GOTAS DULC DE LECHE;2599,99;1832,944;767,046;29,5
1814;PUDDING VAINILLA C/FRUTOS SECO;2459,99;1832,944;627,046;25,49
1815;PUDDING LIMON C/SEM AMAPOLA;2599,99;1832,944;767,046;29,5
1816;PAN DULCE C/FRUTAS 100 DUCADOS;5499,99;3822,389;1677,601;30,5
1835;NACHOS GUACAMOLE MAIXANAS;1999,99;1422,665;577,325;28,87
1836;ROQUEFORT ALLOA OFERTA;15499,99;10004,501;5495,489;35,45
1849;PUDDING MARROC;2599,99;1832,944;767,046;29,5
1862;TORTILLAS ORALI INTEGRALES;1499,99;1006,072;493,918;32,93
1884;PIMENTON AHUM ESF;3799,99;2688,829;1111,161;29,24
1888;SAL 5 PIMIENTAS ESF;3259,99;2322,177;937,813;28,77
1901;MAYONESA AHUMADA ARYTZA X 340G;6399,99;4295,742;2104,248;32,88
1907;MIX ESPECIAL X 250 G;10299,99;7041,226;3258,764;31,64
1908;MIX FRUTAS C/PASAS X 250 G;5849,99;4023,561;1826,429;31,22
1909;MIX FRUT C/PASAS Y MANI X 250;5199,99;3609,362;1590,628;30,59
1911;NUEZ CUARTO X 250 G;8799,99;5502,81;3297,18;37,47
1920;TOMATE TRITURADO 1 L;2259,99;1605,528;654,462;28,96
1921;MANTECOL LINGOTE;14999,99;10107,881;4892,109;32,61
1923;CARPANO ROSSO;8799,99;6764,291;2035,699;23,13
1936;CREMA MILKAUT X 325 G;3699,99;2486,19;1213,8;32,81
1948;LECHE DESC MILKAUT X 1 L;1649,99;1432,583;217,407;13,18
1952;TOMATE DESH X 200 G;5499,99;3905,205;1594,785;29
1978;CASTANAS DE CAJU X 250 G;9299,99;6401,994;2897,996;31,16
1990;NUEZ MARIPOSA X 250 G;9199,99;5739,475;3460,515;37,61
1992;CHOCOLATADA MILKAUT X 1L;2599,99;2154,491;445,499;17,13
2001;PASTA DE AC MOLANES X 150 G;2899,99;1803,308;1096,682;37,82
2003;MOZZA EST SAN FRANCISCO;12999,99;7962,381;5037,609;38,75
2004;MOZZA EST SAN FRANCISCO X MEDI;11999,99;7962,381;4037,609;33,65
2006;PRE PIZZA JM;4299,99;2875,084;1424,906;33,14
2026;MANI SPICY HONEY ROASTED X 75;1399,99;912,974;487,016;34,79
2039;CRACKERS MANDIOCA SAB GUACAMOL;1999,99;1422,665;577,325;28,87
2040;CRACKERS REMOLACHA SAB MERKEN;1999,99;1422,665;577,325;28,87
2041;CRACKERS ZANAHORIA SAB SOUR CR;1999,99;1422,665;577,325;28,87
2057;ARROLL POLLO PROMO X 100 CATAN;16499,9;8618,373;7881,527;47,77
2058;ARROLL POLLO PROMO X 1/4 CATAN;14639,96;8618,373;6021,587;41,13
2059;MAT CARNE PROMO X 100 CATANIA;16499,9;8471,767;8028,133;48,66
2060;MAT CARNE PROMO X 1/4 CATANIA;14799,96;8471,767;6328,193;42,76
2061;ARROLL POLLO ESF X 100 G;21999,9;10884,577;11115,323;50,52
2062;ARROLL POLLO ESF X 1/4 KG;18799,96;10884,577;7915,383;42,1
2063;MAT CARNE ESF X 100 G;27999,9;14654,666;13345,234;47,66
2064;MAT CARNE ESF X 1/4 KG;24799,96;14654,666;10145,294;40,91
2071;MOZZARELLA AHUMADA ESF;13499,99;8687,727;4812,263;35,65
2078;PARMESANO SAN ISIDRO;22999,99;13204,125;9795,865;42,59
2080;BABAGANUSH ONNEG X 220 G;6299,99;4636,115;1663,875;26,41
2081;JUST HUMMUS ONNEG X 220 G;3999,99;2960,658;1039,332;25,98
2082;POCHOCLOS DULCES BIGGYS X 100;1699,99;1164,991;534,999;31,47
2083;POCHOCLOS SWEET & SALT BIGGYS;1699,99;1164,991;534,999;31,47
2085;AC OLIVA ZUELO BOT X 250 ML OR;9599,99;6826,85;2773,14;28,89
2086;AC OLIVA ZUELO LATA X 500 ML I;16999,99;11913,536;5086,454;29,92
2090;PAN DE HAMB CON QUESO MALU;2559,99;1758,12;801,87;31,32
2095;PUDDING FRUT DEL BOSQUE;2599,99;1832,944;767,046;29,5
2097;PREPIZZA MASA MADRE;3399,99;2276,778;1123,212;33,04
2098;ALFAJORCITOS AZUCAR MASA MADRE;3799,99;2515,826;1284,164;33,79
2099;ALFAJORCITOS MAICENA MASA MADR;3799,99;2515,826;1284,164;33,79
2110;PAN DULCE C/CHIPS 100 DUC X 50;4399,99;2989,789;1410,201;32,05
2121;PORCHETA;24999,9;12745,42;12254,48;49,02
2124;HOT RELISH X 400 G LAGRIMA DEL;6799,99;4199,123;2600,867;38,25
2140;YOG DUR DAHI DESC. X 190GRS;2159,99;1594,976;565,014;26,16
2141;YOG FR DEL B DAHI DESC. X190G;2159,99;1594,976;565,014;26,16
2142;YOG FRUT DAHI DESC. X190G;2159,99;1594,976;565,014;26,16
2143;YOG DUR DAHI  X 190GRS;2199,99;1594,976;605,014;27,5
2144;YOG F. DEL BO DAHI X190;2159,99;1594,976;565,014;26,16
2145;YOG FRUTI DAHI X 190G;2159,99;1594,976;565,014;26,16
2146;FYMBO LACTEOS PREMIUM;16999,99;10929,494;6070,496;35,71
2147;PATEGRAS LACTEOS PREMIUM;16999,99;10436,54;6563,45;38,61
2150;MERM ARANDANO ESNAOLA;4999,99;3409,07;1590,92;31,82
2151;MERM FR ROJOS ESNAOLA;5099,99;3409,07;1690,92;33,16
2152;SALSA CAESAR VANOLI X 350 G;3999,99;2471,249;1528,741;38,22
2153;MERM S/AZ MORA LAS QUINAS;5999,99;4056,542;1943,448;32,39
2202;HARINA DE GARB FAINALIND;2099,99;1598,474;501,516;23,88
2203;TORTILLA ESPINACA ORALI;1499,99;1006,072;493,918;32,93
2204;TORTILLA CHEDDAR ORALI;1499,99;1006,072;493,918;32,93
2214;GALLETAS CLASICAS;4000;3000;1000;25
2216;ROQUEFORT AHUMADO ALLOA;19999,99;12815,079;7184,911;35,92
2314;BOC. LICOR C/CHOCO X150GR LC;3899,99;2524,593;1375,397;35,27
2319;MANI SALADO DEC X 75GR;1399,99;912,974;487,016;34,79
2322;MANTECA X 100GR LS;1799,99;1521,01;278,98;15,5
2344;DDL X 400 LA SERENISIMA;2999,99;2199,596;800,394;26,68
10078;TABLITA PICADA ESF;2499,99;1570,411;929,579;37,18
